id,source,ok,latency_seconds,prompt_tokens,output_tokens,parsed_label,error
1,attack_clean,True,4.764499,875,173,Attack,
2,attack_clean,True,4.438816,1035,159,Attack,
3,attack_clean,True,4.994447,1218,179,Attack,
4,attack_clean,True,4.43467,913,160,Attack,
5,attack_clean,True,5.342855,1074,193,Attack,
6,attack_clean,True,4.786134,956,173,Attack,
7,attack_clean,True,4.276682,954,154,Attack,
8,attack_clean,True,4.201063,1785,144,Attack,
9,attack_clean,True,4.828468,2837,158,Attack,
10,attack_clean,True,4.995821,2320,169,Attack,
11,attack_clean,True,4.583215,1153,164,Attack,
12,attack_clean,True,3.878214,846,140,Attack,
13,attack_clean,True,4.69457,1649,163,Attack,
14,attack_clean,True,4.090152,1079,146,Attack,
15,attack_clean,True,4.244865,1026,152,Attack,
16,attack_clean,True,4.704661,1086,169,Attack,
17,attack_clean,True,4.304353,923,155,Attack,
18,attack_clean,True,2.96236,1057,104,Attack,
19,attack_clean,True,4.351096,1942,148,Attack,
20,attack_clean,True,4.920252,952,178,Attack,
21,attack_clean,True,3.226731,1033,114,Attack,
22,attack_clean,True,5.753894,4443,179,Attack,
23,attack_clean,True,5.081001,1066,183,Attack,
24,attack_clean,True,3.76222,899,135,Attack,
25,attack_clean,True,3.835639,1191,136,Attack,
26,attack_clean,True,4.457159,1028,160,Attack,
27,attack_clean,True,4.895183,3199,158,Attack,
28,attack_clean,True,4.708693,973,170,Attack,
29,attack_clean,True,4.365337,882,158,Attack,
30,attack_clean,True,4.271191,1195,152,Attack,
31,attack_clean,True,4.023606,1159,143,Attack,
32,attack_clean,True,4.143815,1044,143,Attack,
33,attack_clean,True,3.871592,943,139,Attack,
34,attack_clean,True,4.53919,914,164,Attack,
35,attack_clean,True,3.896973,1047,139,Attack,
36,attack_clean,True,3.985947,1120,142,Attack,
37,attack_clean,True,4.137841,1095,148,Attack,
38,attack_clean,True,4.468229,1141,160,Attack,
39,attack_clean,True,6.12897,1563,217,Attack,
40,attack_clean,True,4.221403,1072,151,Attack,
41,attack_clean,True,5.052667,1072,182,Attack,
42,attack_clean,True,4.515189,1089,162,Attack,
43,attack_clean,True,4.564194,996,164,Attack,
44,attack_clean,True,3.360942,1034,119,Attack,
45,attack_clean,True,4.193911,946,151,Attack,
46,attack_clean,True,4.434252,1036,159,Attack,
47,attack_clean,True,4.547018,971,164,Attack,
48,attack_clean,True,4.510765,912,163,Attack,
49,attack_clean,True,4.193135,1076,150,Attack,
50,attack_clean,True,3.928103,1123,140,Attack,
51,attack_clean,True,4.175882,1489,146,Attack,
52,attack_clean,True,4.302111,1071,154,Attack,
53,attack_clean,True,4.727437,921,171,Attack,
54,attack_clean,True,4.729434,1060,170,Attack,
