id,source,ok,latency_seconds,prompt_tokens,output_tokens,parsed_label,error
1,attack_clean,True,0.88298,4198,6,Attack,
2,attack_clean,True,0.670604,3041,6,Attack,
3,attack_clean,True,1.143263,5631,6,Attack,
4,attack_clean,True,0.803637,3816,6,Attack,
5,attack_clean,True,1.038438,5083,6,Attack,
6,attack_clean,True,0.998135,4840,6,Attack,
7,attack_clean,True,1.140224,5597,6,Attack,
8,attack_clean,True,1.034248,5043,6,Attack,
9,attack_clean,True,1.164641,5696,6,Attack,
10,attack_clean,True,1.260117,6211,6,Attack,
11,attack_clean,True,1.363596,6769,6,Attack,
12,attack_clean,True,0.994278,4783,6,Attack,
13,attack_clean,True,1.259389,6155,6,Attack,
14,attack_clean,True,0.633193,2747,6,Attack,
15,attack_clean,True,0.880221,4138,6,Attack,
16,attack_clean,True,1.180163,5838,6,Attack,
17,attack_clean,True,1.09095,5370,6,Attack,
18,attack_clean,True,0.878388,4118,6,Attack,
19,attack_clean,True,1.420208,6988,6,Attack,
20,attack_clean,True,1.345382,6683,6,Attack,
21,attack_clean,True,1.166985,5731,6,Attack,
22,attack_clean,True,1.681916,8210,6,Attack,
23,attack_clean,True,1.304926,6437,6,Attack,
24,attack_clean,True,1.18763,5877,6,Attack,
25,attack_clean,True,1.221987,6079,6,Attack,
26,attack_clean,True,0.722098,3334,6,Attack,
27,attack_clean,True,1.558151,7679,6,Attack,
28,attack_clean,True,1.037456,5064,6,Attack,
29,attack_clean,True,0.817951,3850,6,Attack,
30,attack_clean,True,0.95588,4628,6,Attack,
31,attack_clean,True,0.726788,3396,6,Attack,
32,attack_clean,True,1.135831,5517,6,Attack,
33,attack_clean,True,0.80127,3767,6,Attack,
34,attack_clean,True,0.936896,4553,6,Attack,
35,attack_clean,True,0.946822,4483,6,Attack,
36,attack_clean,True,1.371037,6863,6,Attack,
37,attack_clean,True,1.024017,4978,6,Attack,
38,attack_clean,True,0.920643,4387,6,Attack,
39,attack_clean,True,1.168455,5745,6,Attack,
40,attack_clean,True,0.875224,4098,6,Attack,
41,attack_clean,True,0.819607,3841,6,Attack,
42,attack_clean,True,1.019513,4970,6,Attack,
43,attack_clean,True,1.216761,6029,6,Attack,
44,attack_clean,True,0.921005,4394,6,Attack,
45,attack_clean,True,1.553213,7580,6,Attack,
46,attack_clean,True,0.988344,4737,6,Attack,
47,attack_clean,True,1.015969,4939,6,Attack,
48,attack_clean,True,0.900056,4325,6,Attack,
49,attack_clean,True,0.772783,3581,6,Attack,
50,attack_clean,True,1.109652,5481,6,Attack,
51,attack_clean,True,1.376944,6888,6,Attack,
52,attack_clean,True,1.266703,6251,6,Attack,
53,attack_clean,True,1.260815,6150,6,Attack,
54,attack_clean,True,0.995303,4765,6,Attack,
55,attack_clean,True,0.823417,3891,6,Attack,
56,attack_clean,True,1.186598,5865,6,Attack,
57,attack_clean,True,1.107247,5502,6,Attack,
58,attack_clean,True,1.107175,5416,6,Attack,
59,attack_clean,True,0.841172,4042,6,Attack,
60,attack_clean,True,1.062752,5245,6,Attack,
61,attack_clean,True,1.014729,4914,6,Attack,
62,attack_clean,True,1.176367,5775,6,Attack,
63,attack_clean,True,0.895988,4268,6,Attack,
64,attack_clean,True,1.265933,6232,6,Attack,
65,attack_clean,True,1.288515,6398,6,Attack,
66,attack_clean,True,0.993908,4793,6,Attack,
67,attack_clean,True,1.580481,7734,6,Attack,
68,attack_clean,True,1.473868,7260,6,Attack,
69,attack_clean,True,0.962063,4647,6,Attack,
70,attack_clean,True,1.631867,8021,6,Attack,
71,attack_clean,True,1.202773,5908,6,Attack,
72,attack_clean,True,0.792418,3686,6,Attack,
73,attack_clean,True,1.758076,8699,6,Attack,
74,attack_clean,True,1.165141,5707,6,Attack,
75,attack_clean,True,0.96307,4727,6,Attack,
76,attack_clean,True,0.99832,4850,6,Attack,
77,attack_clean,True,1.057601,5140,6,Attack,
78,attack_clean,True,1.164538,5730,6,Attack,
79,attack_clean,True,0.900764,4280,6,Attack,
80,attack_clean,True,1.162348,5670,6,Attack,
81,attack_clean,True,1.179099,5761,6,Attack,
82,attack_clean,True,0.934882,4537,6,Attack,
83,attack_clean,True,0.995538,4821,6,Attack,
84,attack_clean,True,1.449836,7149,6,Attack,
85,attack_clean,True,1.016764,4900,6,Attack,
86,attack_clean,True,1.063798,5217,6,Attack,
87,attack_clean,True,0.772982,3564,6,Attack,
88,attack_clean,True,1.107489,5467,6,Attack,
89,attack_clean,True,1.796749,8845,6,Attack,
90,attack_clean,True,1.32412,6580,6,Attack,
91,attack_clean,True,0.948666,4667,6,Attack,
92,attack_clean,True,1.203055,5960,6,Attack,
93,attack_clean,True,0.997365,4824,6,Attack,
94,attack_clean,True,1.083029,5339,6,Attack,
95,attack_clean,True,1.44393,7091,6,Attack,
96,attack_clean,True,1.08738,5330,6,Attack,
97,attack_clean,True,1.118095,5484,6,Attack,
98,attack_clean,True,0.842199,4025,6,Attack,
99,attack_clean,True,1.034643,5046,6,Attack,
100,attack_clean,True,0.63815,2787,6,Attack,
101,attack_clean,True,1.36984,6811,6,Attack,
102,attack_clean,True,0.993874,4795,6,Attack,
103,attack_clean,True,1.064421,5202,6,Attack,
104,attack_clean,True,1.077748,5271,6,Attack,
105,attack_clean,True,1.062107,5162,6,Attack,
106,attack_clean,True,1.472535,7245,6,Attack,
107,attack_clean,True,0.942309,4599,6,Attack,
108,attack_clean,True,1.059425,5125,6,Attack,
109,attack_clean,True,1.480421,7235,6,Attack,
110,attack_clean,True,0.730193,3421,6,Attack,
111,attack_clean,True,1.10625,5399,6,Attack,
112,attack_clean,True,0.842708,4086,6,Attack,
113,attack_clean,True,1.309275,6510,6,Attack,
114,attack_clean,True,0.949438,4584,6,Attack,
115,attack_clean,True,0.839208,4000,6,Attack,
116,attack_clean,True,1.603846,7914,6,Attack,
117,attack_clean,True,1.034257,5073,6,Attack,
118,attack_clean,True,1.078492,5280,6,Attack,
119,attack_clean,True,0.948251,4562,6,Attack,
120,attack_clean,True,0.926356,4405,6,Attack,
121,attack_clean,True,1.184846,5828,6,Attack,
122,attack_clean,True,0.926846,4418,6,Attack,
123,attack_clean,True,1.475231,7253,6,Attack,
124,attack_clean,True,1.177313,5790,6,Attack,
125,attack_clean,True,1.35505,6707,6,Attack,
126,attack_clean,True,0.96396,4655,6,Attack,
127,attack_clean,True,1.267746,6245,6,Attack,
128,attack_clean,True,0.841653,3969,6,Attack,
129,attack_clean,True,0.99384,4782,6,Attack,
130,attack_clean,True,1.183575,5826,6,Attack,
131,attack_clean,True,1.221988,6030,6,Attack,
132,attack_clean,True,0.827685,3927,6,Attack,
133,attack_clean,True,1.140578,5589,6,Attack,
134,attack_clean,True,1.060876,5158,6,Attack,
135,attack_clean,True,1.577303,7703,6,Attack,
136,attack_clean,True,0.947503,4584,6,Attack,
137,attack_clean,True,0.939444,4580,6,Attack,
