id,source,ok,latency_seconds,prompt_tokens,output_tokens,parsed_label,error
1,attack_clean,True,0.480558,4198,2,Attack,
2,attack_clean,True,0.384063,3041,2,Attack,
3,attack_clean,True,0.608988,5631,2,Attack,
4,attack_clean,True,0.44784,3816,2,Attack,
5,attack_clean,True,0.557754,5083,2,Attack,
6,attack_clean,True,0.535911,4840,2,Attack,
7,attack_clean,True,0.606707,5597,2,Attack,
8,attack_clean,True,0.557025,5043,2,Attack,
9,attack_clean,True,0.614842,5696,2,Attack,
10,attack_clean,True,0.664693,6211,2,Attack,
11,attack_clean,True,0.711818,6769,2,Attack,
12,attack_clean,True,0.609291,4783,4,Non-Attack,
13,attack_clean,True,0.659659,6155,2,Attack,
14,attack_clean,True,0.360574,2747,2,Attack,
15,attack_clean,True,0.479318,4138,2,Attack,
16,attack_clean,True,0.627333,5838,2,Attack,
17,attack_clean,True,0.583064,5370,2,Attack,
18,attack_clean,True,0.480666,4118,2,Attack,
19,attack_clean,True,0.739919,6988,2,Attack,
20,attack_clean,True,0.705484,6683,2,Attack,
21,attack_clean,True,0.618049,5731,2,Attack,
22,attack_clean,True,0.866415,8210,2,Attack,
23,attack_clean,True,0.754335,6437,4,Non-Attack,
24,attack_clean,True,0.628764,5877,2,Attack,
25,attack_clean,True,0.65088,6079,2,Attack,
26,attack_clean,True,0.406273,3334,2,Attack,
27,attack_clean,True,0.807429,7679,2,Attack,
28,attack_clean,True,0.556079,5064,2,Attack,
29,attack_clean,True,0.454469,3850,2,Attack,
30,attack_clean,True,0.58793,4628,4,Non-Attack,
31,attack_clean,True,0.410692,3396,2,Attack,
32,attack_clean,True,0.601969,5517,2,Attack,
33,attack_clean,True,0.444727,3767,2,Attack,
34,attack_clean,True,0.514239,4553,2,Attack,
35,attack_clean,True,0.507397,4483,2,Attack,
36,attack_clean,True,0.725485,6863,2,Attack,
37,attack_clean,True,0.617675,4978,4,Non-Attack,
38,attack_clean,True,0.574217,4387,4,Non-Attack,
39,attack_clean,True,0.617829,5745,2,Attack,
40,attack_clean,True,0.547355,4098,4,Non-Attack,
41,attack_clean,True,0.52457,3841,4,Non-Attack,
42,attack_clean,True,0.548578,4970,2,Attack,
43,attack_clean,True,0.646268,6029,2,Attack,
44,attack_clean,True,0.49861,4394,2,Attack,
45,attack_clean,True,0.797097,7580,2,Attack,
46,attack_clean,True,0.532701,4737,2,Attack,
47,attack_clean,True,0.549717,4939,2,Attack,
48,attack_clean,True,0.492329,4325,2,Attack,
49,attack_clean,True,0.426271,3581,2,Attack,
50,attack_clean,True,0.596161,5481,2,Attack,
51,attack_clean,True,0.792989,6888,4,Non-Attack,
52,attack_clean,True,0.742479,6251,4,Non-Attack,
53,attack_clean,True,0.661464,6150,2,Attack,
54,attack_clean,True,0.530942,4765,2,Attack,
55,attack_clean,True,0.458357,3891,2,Attack,
56,attack_clean,True,0.627212,5865,2,Attack,
57,attack_clean,True,0.595528,5502,2,Attack,
58,attack_clean,True,0.660432,5416,4,Non-Attack,
59,attack_clean,True,0.470083,4042,2,Attack,
60,attack_clean,True,0.572768,5245,2,Attack,
61,attack_clean,True,0.550876,4914,2,Attack,
62,attack_clean,True,0.624834,5775,2,Attack,
63,attack_clean,True,0.491664,4268,2,Attack,
64,attack_clean,True,0.663133,6232,2,Attack,
65,attack_clean,True,0.677895,6398,2,Attack,
66,attack_clean,True,0.606356,4793,4,Non-Attack,
67,attack_clean,True,0.81596,7734,2,Attack,
68,attack_clean,True,0.767863,7260,2,Attack,
69,attack_clean,True,0.518284,4647,2,Attack,
70,attack_clean,True,0.842708,8021,2,Attack,
71,attack_clean,True,0.634439,5908,2,Attack,
72,attack_clean,True,0.435552,3686,2,Attack,
73,attack_clean,True,0.916431,8699,2,Attack,
74,attack_clean,True,0.616732,5707,2,Attack,
75,attack_clean,True,0.524675,4727,2,Attack,
76,attack_clean,True,0.537706,4850,2,Attack,
77,attack_clean,True,0.566709,5140,2,Attack,
78,attack_clean,True,0.617018,5730,2,Attack,
79,attack_clean,True,0.490061,4280,2,Attack,
80,attack_clean,True,0.614878,5670,2,Attack,
81,attack_clean,True,0.693853,5761,4,Non-Attack,
82,attack_clean,True,0.510978,4537,2,Attack,
83,attack_clean,True,0.535435,4821,2,Attack,
84,attack_clean,True,0.754618,7149,2,Attack,
