id,source,ok,latency_seconds,prompt_tokens,output_tokens,parsed_label,error
1,attack_clean,True,0.218939,811,2,Attack,
2,attack_clean,True,0.227063,971,2,Attack,
3,attack_clean,True,0.238967,1154,2,Attack,
4,attack_clean,True,0.220084,849,2,Attack,
5,attack_clean,True,0.230668,1010,2,Attack,
6,attack_clean,True,0.222496,892,2,Attack,
7,attack_clean,True,0.225096,890,2,Attack,
8,attack_clean,True,0.27678,1721,2,Attack,
9,attack_clean,True,0.357349,2773,2,Attack,
10,attack_clean,True,0.313343,2256,2,Attack,
11,attack_clean,True,0.237287,1089,2,Attack,
12,attack_clean,True,0.214861,782,2,Attack,
13,attack_clean,True,0.265476,1585,2,Attack,
14,attack_clean,True,0.228186,1015,2,Attack,
15,attack_clean,True,0.22579,962,2,Attack,
16,attack_clean,True,0.235097,1022,2,Attack,
17,attack_clean,True,0.219029,859,2,Attack,
18,attack_clean,True,0.229654,993,2,Attack,
19,attack_clean,True,0.292421,1878,2,Attack,
20,attack_clean,True,0.222161,888,2,Attack,
21,attack_clean,True,0.226436,969,2,Attack,
22,attack_clean,True,0.493138,4379,2,Attack,
23,attack_clean,True,0.228408,1002,2,Attack,
24,attack_clean,True,0.217942,835,2,Attack,
25,attack_clean,True,0.235381,1127,2,Attack,
26,attack_clean,True,0.227529,964,2,Attack,
27,attack_clean,True,0.388599,3135,2,Attack,
28,attack_clean,True,0.223135,909,2,Attack,
29,attack_clean,True,0.215706,818,2,Attack,
30,attack_clean,True,0.23811,1131,2,Attack,
31,attack_clean,True,0.234359,1095,2,Attack,
32,attack_clean,True,0.228876,980,2,Attack,
33,attack_clean,True,0.219934,879,2,Attack,
34,attack_clean,True,0.219607,850,2,Attack,
35,attack_clean,True,0.227985,983,2,Attack,
36,attack_clean,True,0.232245,1056,2,Attack,
37,attack_clean,True,0.232296,1031,2,Attack,
38,attack_clean,True,0.234992,1077,2,Attack,
39,attack_clean,True,0.259966,1499,2,Attack,
40,attack_clean,True,0.227698,1008,2,Attack,
41,attack_clean,True,0.230755,1008,2,Attack,
42,attack_clean,True,0.229956,1025,2,Attack,
43,attack_clean,True,0.225483,932,2,Attack,
44,attack_clean,True,0.228833,970,2,Attack,
45,attack_clean,True,0.220341,882,2,Attack,
46,attack_clean,True,0.226042,972,2,Attack,
47,attack_clean,True,0.222258,907,2,Attack,
48,attack_clean,True,0.218858,848,2,Attack,
49,attack_clean,True,0.228633,1012,2,Attack,
50,attack_clean,True,0.233141,1059,2,Attack,
51,attack_clean,True,0.255825,1425,2,Attack,
52,attack_clean,True,0.232679,1007,2,Attack,
53,attack_clean,True,0.218979,857,2,Attack,
54,attack_clean,True,0.230756,996,2,Attack,
55,attack_clean,True,0.225453,906,2,Attack,
56,attack_clean,True,0.23297,1030,2,Attack,
57,attack_clean,True,0.222758,890,2,Attack,
58,attack_clean,True,0.237726,1071,2,Attack,
59,attack_clean,True,0.220647,878,2,Attack,
60,attack_clean,True,0.219611,855,2,Attack,
61,attack_clean,True,0.21777,852,2,Attack,
62,attack_clean,True,0.252108,1379,2,Attack,
63,attack_clean,True,0.220829,878,2,Attack,
64,attack_clean,True,0.231517,953,2,Attack,
65,attack_clean,True,0.226171,980,2,Attack,
66,attack_clean,True,0.241801,1100,2,Attack,
67,attack_clean,True,0.288356,1823,2,Attack,
68,attack_clean,True,0.322461,2258,2,Attack,
69,attack_clean,True,0.236789,1121,2,Attack,
70,attack_clean,True,0.256656,1437,2,Attack,
71,attack_clean,True,0.235065,1095,2,Attack,
72,attack_clean,True,0.236309,1152,2,Attack,
73,attack_clean,True,0.520437,4706,2,Attack,
74,attack_clean,True,0.252607,1387,2,Attack,
75,attack_clean,True,0.221262,867,2,Attack,
