id,source,ok,latency_seconds,prompt_tokens,output_tokens,parsed_label,error
1,attack_clean,True,0.621885,811,6,Attack,
2,attack_clean,True,0.675093,971,6,Attack,
3,attack_clean,True,0.769647,1154,6,Attack,
4,attack_clean,True,0.630428,849,6,Attack,
5,attack_clean,True,0.707394,1010,6,Attack,
6,attack_clean,True,0.645961,892,6,Attack,
7,attack_clean,True,0.642387,890,6,Attack,
8,attack_clean,True,1.008817,1721,6,Attack,
9,attack_clean,True,1.425278,2773,6,Attack,
10,attack_clean,True,1.200952,2256,6,Attack,
11,attack_clean,True,0.732642,1089,6,Attack,
12,attack_clean,True,0.62011,782,6,Attack,
13,attack_clean,True,0.945592,1585,6,Attack,
14,attack_clean,True,0.710089,1015,6,Attack,
15,attack_clean,True,0.673412,962,6,Attack,
16,attack_clean,True,0.705786,1022,6,Attack,
17,attack_clean,True,0.635314,859,6,Attack,
18,attack_clean,True,0.702941,993,6,Attack,
19,attack_clean,True,1.052028,1878,6,Attack,
20,attack_clean,True,0.637208,888,6,Attack,
21,attack_clean,True,0.675073,969,6,Attack,
22,attack_clean,True,2.107921,4379,6,Attack,
23,attack_clean,True,0.708603,1002,6,Attack,
24,attack_clean,True,0.628541,835,6,Attack,
25,attack_clean,True,0.745808,1127,6,Attack,
26,attack_clean,True,0.672094,964,6,Attack,
27,attack_clean,True,1.562018,3135,6,Attack,
28,attack_clean,True,0.664804,909,6,Attack,
29,attack_clean,True,0.625554,818,6,Attack,
30,attack_clean,True,0.748359,1131,6,Attack,
31,attack_clean,True,0.742814,1095,6,Attack,
32,attack_clean,True,0.676638,980,6,Attack,
33,attack_clean,True,0.632107,879,6,Attack,
34,attack_clean,True,0.630096,850,6,Attack,
35,attack_clean,True,0.677657,983,6,Attack,
36,attack_clean,True,0.726634,1056,6,Attack,
37,attack_clean,True,0.72404,1031,6,Attack,
38,attack_clean,True,0.736907,1077,6,Attack,
39,attack_clean,True,0.89707,1499,6,Attack,
40,attack_clean,True,0.707205,1008,6,Attack,
41,attack_clean,True,0.705228,1008,6,Attack,
42,attack_clean,True,0.723487,1025,6,Attack,
43,attack_clean,True,0.668039,932,6,Attack,
44,attack_clean,True,0.675148,970,6,Attack,
45,attack_clean,True,0.64231,882,6,Attack,
46,attack_clean,True,0.674507,972,6,Attack,
47,attack_clean,True,0.66466,907,6,Attack,
48,attack_clean,True,0.631349,848,6,Attack,
49,attack_clean,True,0.704202,1012,6,Attack,
50,attack_clean,True,0.720163,1059,6,Attack,
51,attack_clean,True,0.879426,1425,6,Attack,
52,attack_clean,True,0.707997,1007,6,Attack,
53,attack_clean,True,0.629876,857,6,Attack,
54,attack_clean,True,0.703867,996,6,Attack,
55,attack_clean,True,0.665697,906,6,Attack,
56,attack_clean,True,0.71859,1030,6,Attack,
57,attack_clean,True,0.644507,890,6,Attack,
58,attack_clean,True,0.732699,1071,6,Attack,
59,attack_clean,True,0.642395,878,6,Attack,
60,attack_clean,True,0.628053,855,6,Attack,
61,attack_clean,True,0.632646,852,6,Attack,
62,attack_clean,True,0.871448,1379,6,Attack,
63,attack_clean,True,0.637128,878,6,Attack,
64,attack_clean,True,0.671129,953,6,Attack,
65,attack_clean,True,0.675284,980,6,Attack,
66,attack_clean,True,0.742825,1100,6,Attack,
67,attack_clean,True,1.040289,1823,6,Attack,
68,attack_clean,True,1.216103,2258,6,Attack,
69,attack_clean,True,0.74615,1121,6,Attack,
70,attack_clean,True,0.882549,1437,6,Attack,
71,attack_clean,True,0.733514,1095,6,Attack,
72,attack_clean,True,0.75372,1152,6,Attack,
73,attack_clean,True,2.237662,4706,6,Attack,
74,attack_clean,True,0.872073,1387,6,Attack,
75,attack_clean,True,0.638984,867,6,Attack,
76,attack_clean,True,0.874563,1427,6,Attack,
77,attack_clean,True,0.730248,1056,6,Attack,
78,attack_clean,True,0.675428,975,6,Attack,
79,attack_clean,True,0.642007,866,6,Attack,
80,attack_clean,True,0.844614,1336,6,Attack,
81,attack_clean,True,0.707514,1024,6,Attack,
82,attack_clean,True,0.626502,819,6,Attack,
83,attack_clean,True,0.707604,997,6,Attack,
84,attack_clean,True,1.169135,2146,6,Attack,
85,attack_clean,True,0.747359,1128,6,Attack,
86,attack_clean,True,0.631585,857,6,Attack,
87,attack_clean,True,0.740047,1101,6,Attack,
88,attack_clean,True,0.772041,1196,6,Attack,
89,attack_clean,True,0.743304,1114,6,Attack,
90,attack_clean,True,0.872628,1414,6,Attack,
91,attack_clean,True,0.672176,957,6,Attack,
92,attack_clean,True,0.663947,914,6,Attack,
93,attack_clean,True,0.646259,891,6,Attack,
94,attack_clean,True,0.663396,922,6,Attack,
95,attack_clean,True,0.722339,1034,6,Attack,
96,attack_clean,True,0.743882,1103,6,Attack,
97,attack_clean,True,0.742542,1094,6,Attack,
98,attack_clean,True,0.736145,1067,6,Attack,
99,attack_clean,True,0.706669,1020,6,Attack,
100,attack_clean,True,0.630314,834,6,Attack,
101,attack_clean,True,0.669479,941,6,Attack,
102,attack_clean,True,0.671623,976,6,Attack,
103,attack_clean,True,0.621406,824,6,Attack,
104,attack_clean,True,0.697014,1001,6,Attack,
105,attack_clean,True,0.945254,1551,6,Attack,
106,attack_clean,True,0.646115,888,6,Attack,
107,attack_clean,True,0.644665,888,6,Attack,
108,attack_clean,True,0.672518,953,6,Attack,
109,attack_clean,True,0.669523,931,6,Attack,
110,attack_clean,True,0.676714,984,6,Attack,
111,attack_clean,True,0.706045,1003,6,Attack,
112,attack_clean,True,0.861723,1355,6,Attack,
113,attack_clean,True,0.79152,1256,6,Attack,
114,attack_clean,True,0.703476,995,6,Attack,
115,attack_clean,True,0.749171,1151,6,Attack,
116,attack_clean,True,1.246926,2323,6,Attack,
117,attack_clean,True,0.778567,1211,6,Attack,
118,attack_clean,True,0.707365,1009,6,Attack,
119,attack_clean,True,0.705826,1013,6,Attack,
120,attack_clean,True,0.669168,947,6,Attack,
121,attack_clean,True,0.737317,1085,6,Attack,
122,attack_clean,True,0.669265,937,6,Attack,
123,attack_clean,True,1.661613,3446,6,Attack,
124,attack_clean,True,0.704788,997,6,Attack,
125,attack_clean,True,0.729016,1061,6,Attack,
126,attack_clean,True,0.773251,1171,6,Attack,
127,attack_clean,True,0.729166,1077,6,Attack,
128,attack_clean,True,0.674618,972,6,Attack,
129,attack_clean,True,0.667907,934,6,Attack,
130,attack_clean,True,0.632167,851,6,Attack,
131,attack_clean,True,0.664431,902,6,Attack,
132,attack_clean,True,0.620417,790,6,Attack,
133,attack_clean,True,0.632761,845,6,Attack,
134,attack_clean,True,0.677118,982,6,Attack,
135,attack_clean,True,1.882508,3893,6,Attack,
136,attack_clean,True,0.639897,871,6,Attack,
137,attack_clean,True,0.669208,942,6,Attack,
138,attack_clean,True,0.703352,1004,6,Attack,
139,attack_clean,True,0.708363,1006,6,Attack,
140,attack_clean,True,0.665817,918,6,Attack,
141,attack_clean,True,0.739573,1100,6,Attack,
142,attack_clean,True,0.73249,1082,6,Attack,
143,attack_clean,True,0.775898,1191,6,Attack,
144,attack_clean,True,0.867171,1385,6,Attack,
145,attack_clean,True,0.621018,799,6,Attack,
146,attack_clean,True,0.666255,925,6,Attack,
147,attack_clean,True,0.778072,1188,6,Attack,
148,attack_clean,True,0.779004,1185,6,Attack,
149,attack_clean,True,0.619829,809,6,Attack,
150,attack_clean,True,0.673256,955,6,Attack,
151,attack_clean,True,0.789787,1260,6,Attack,
152,attack_clean,True,0.671898,950,6,Attack,
153,attack_clean,True,0.741265,1098,6,Attack,
154,attack_clean,True,0.671859,961,6,Attack,
155,attack_clean,True,0.643927,887,6,Attack,
156,attack_clean,True,1.350512,2608,6,Attack,
157,attack_clean,True,0.773182,1180,6,Attack,
158,attack_clean,True,0.70725,1007,6,Attack,
159,attack_clean,True,0.668741,942,6,Attack,
160,attack_clean,True,0.744342,1100,6,Attack,
161,attack_clean,True,1.300861,2460,6,Attack,
162,attack_clean,True,0.73191,1087,6,Attack,
163,attack_clean,True,0.676897,981,6,Attack,
165,attack_clean,True,0.674821,973,6,Attack,
166,attack_clean,True,0.83617,1325,6,Attack,
167,attack_clean,True,0.729097,1072,6,Attack,
168,attack_clean,True,1.205157,2266,6,Attack,
169,attack_clean,True,0.843923,1324,6,Attack,
170,attack_clean,True,0.667535,936,6,Attack,
171,attack_clean,True,0.85792,1347,6,Attack,
172,attack_clean,True,0.670948,955,6,Attack,
173,attack_clean,True,0.939035,1544,6,Attack,
174,attack_clean,True,0.670499,959,6,Attack,
175,attack_clean,True,0.666699,933,6,Attack,
176,attack_clean,True,0.727678,1059,6,Attack,
177,attack_clean,True,0.674011,965,6,Attack,
178,attack_clean,True,0.72924,1046,6,Attack,
179,attack_clean,True,0.670702,937,6,Attack,
180,attack_clean,True,0.66513,901,6,Attack,
181,attack_clean,True,0.7206,1032,6,Attack,
182,attack_clean,True,1.162644,2146,6,Attack,
183,attack_clean,True,0.665045,930,6,Attack,
184,attack_clean,True,0.708875,1015,6,Attack,
185,attack_clean,True,0.863721,1357,6,Attack,
186,attack_clean,True,0.667726,921,6,Attack,
187,attack_clean,True,0.774491,1176,6,Attack,
188,attack_clean,True,0.676731,982,6,Attack,
189,attack_clean,True,0.737992,1083,6,Attack,
190,attack_clean,True,0.722772,1053,6,Attack,
191,attack_clean,True,0.641104,873,6,Attack,
192,attack_clean,True,0.67001,935,6,Attack,
193,attack_clean,True,0.521126,545,6,Attack,
194,attack_clean,True,0.672376,966,6,Attack,
195,attack_clean,True,0.7039,1002,6,Attack,
196,attack_clean,True,0.876484,1415,6,Attack,
197,attack_clean,True,0.833857,1312,6,Attack,
198,attack_clean,True,0.70238,1013,6,Attack,
199,attack_clean,True,0.705048,1017,6,Attack,
200,attack_clean,True,0.829282,1290,6,Attack,
201,attack_clean,True,1.07348,1978,6,Attack,
202,attack_clean,True,0.67617,992,6,Attack,
203,attack_clean,True,0.620359,801,6,Attack,
204,attack_clean,True,0.665983,923,6,Attack,
205,attack_clean,True,0.720121,1034,6,Attack,
206,attack_clean,True,0.669558,949,6,Attack,
207,attack_clean,True,0.745504,1122,6,Attack,
208,attack_clean,True,0.671682,955,6,Attack,
209,attack_clean,True,0.677896,986,6,Attack,
210,attack_clean,True,0.753217,1152,6,Attack,
211,attack_clean,True,0.676238,985,6,Attack,
212,attack_clean,True,1.084724,2018,6,Attack,
213,attack_clean,True,0.677438,989,6,Attack,
214,attack_clean,True,0.737826,1085,6,Attack,
215,attack_clean,True,0.627397,843,6,Attack,
216,attack_clean,True,1.90305,3942,6,Attack,
217,attack_clean,True,0.675476,981,6,Attack,
218,attack_clean,True,0.892223,1490,6,Attack,
219,attack_clean,True,0.752709,1152,6,Attack,
220,attack_clean,True,0.667003,929,6,Attack,
221,attack_clean,True,0.64214,883,6,Attack,
222,attack_clean,True,0.792695,1269,6,Attack,
223,attack_clean,True,0.6219,817,6,Attack,
224,attack_clean,True,0.721138,1061,6,Attack,
225,attack_clean,True,0.667722,930,6,Attack,
226,attack_clean,True,0.621462,806,6,Attack,
227,attack_clean,True,0.630076,843,6,Attack,
228,attack_clean,True,0.642657,876,6,Attack,
229,attack_clean,True,0.731839,1080,6,Attack,
230,attack_clean,True,1.58112,3258,6,Attack,
231,attack_clean,True,0.731345,1074,6,Attack,
232,attack_clean,True,0.632406,857,6,Attack,
233,attack_clean,True,0.645022,883,6,Attack,
234,attack_clean,True,0.744305,1108,6,Attack,
235,attack_clean,True,1.658434,3400,6,Attack,
236,attack_clean,True,0.624742,811,6,Attack,
237,attack_clean,True,0.673051,960,6,Attack,
238,attack_clean,True,0.628072,833,6,Attack,
239,attack_clean,True,0.63294,865,6,Attack,
240,attack_clean,True,0.869423,1371,6,Attack,
241,attack_clean,True,1.000618,1677,6,Attack,
242,attack_clean,True,0.732593,1078,6,Attack,
243,attack_clean,True,0.752583,1142,6,Attack,
244,attack_clean,True,0.968524,1651,6,Attack,
245,attack_clean,True,0.669005,937,6,Attack,
246,attack_clean,True,0.720836,1029,6,Attack,
247,attack_clean,True,0.789086,1238,6,Attack,
248,attack_clean,True,0.703055,1010,6,Attack,
249,attack_clean,True,0.726108,1044,6,Attack,
250,attack_clean,True,0.641584,874,6,Attack,
251,fp_clean,True,0.617411,770,6,Attack,
252,fp_clean,True,1.383396,2647,6,Attack,
253,fp_clean,True,1.048875,1851,6,Attack,
254,fp_clean,True,1.213477,2243,6,Attack,
255,fp_clean,True,1.253619,2335,6,Attack,
256,fp_clean,True,0.782166,1229,6,Attack,
257,fp_clean,True,1.07863,1984,6,Attack,
258,fp_clean,True,0.667461,924,6,Attack,
259,fp_clean,True,0.832513,1303,6,Attack,
260,fp_clean,True,0.780211,1211,6,Attack,
261,fp_clean,True,1.046451,1921,6,Attack,
262,fp_clean,True,1.388799,2684,6,Attack,
264,fp_clean,True,1.050941,1861,6,Attack,
265,fp_clean,True,0.996563,1668,6,Attack,
266,fp_clean,True,1.545397,2713,8,Non-Attack,
267,fp_clean,True,1.001116,1690,6,Attack,
268,fp_clean,True,0.942015,1566,6,Attack,
269,fp_clean,True,0.769463,1160,6,Attack,
270,fp_clean,True,1.272029,2424,6,Attack,
271,fp_clean,True,0.743214,1100,6,Attack,
272,fp_clean,True,0.874845,1422,6,Attack,
273,fp_clean,True,1.053875,1881,6,Attack,
274,fp_clean,True,0.730396,1077,6,Attack,
275,fp_clean,True,1.223004,2285,6,Attack,
276,fp_clean,True,1.078113,2004,6,Attack,
277,fp_clean,True,1.16049,2103,6,Attack,
278,fp_clean,True,1.664933,3453,6,Attack,
279,fp_clean,True,1.250852,2312,6,Attack,
280,fp_clean,True,0.92506,1622,6,Attack,
281,fp_clean,True,1.003928,1697,6,Attack,
282,fp_clean,True,1.177357,2158,6,Attack,
283,fp_clean,True,1.023257,1773,6,Attack,
284,fp_clean,True,1.055601,1892,6,Attack,
285,fp_clean,True,0.904246,1523,6,Attack,
286,fp_clean,True,0.864308,1361,6,Attack,
287,fp_clean,True,0.861263,1346,6,Attack,
288,fp_clean,True,1.425101,2767,6,Attack,
289,fp_clean,True,0.934915,1541,6,Attack,
290,fp_clean,True,1.250569,2336,6,Attack,
291,fp_clean,True,0.999388,1671,6,Attack,
292,fp_clean,True,1.732539,3529,6,Attack,
293,fp_clean,True,1.079257,2000,6,Attack,
294,fp_clean,True,1.515555,2961,6,Attack,
295,fp_clean,True,0.830026,1297,6,Attack,
296,fp_clean,True,1.792666,3639,6,Attack,
297,fp_clean,True,1.43152,2736,6,Attack,
298,fp_clean,True,1.21357,2244,6,Attack,
299,fp_clean,True,1.46406,2863,6,Attack,
300,fp_clean,True,1.199408,2193,6,Attack,
301,fp_clean,True,0.868631,1371,6,Attack,
302,fp_clean,True,1.207116,2207,6,Attack,
303,fp_clean,True,0.883926,1445,6,Attack,
304,fp_clean,True,1.174829,2140,6,Attack,
305,fp_clean,True,0.775783,1190,6,Attack,
306,fp_clean,True,1.173924,2145,6,Attack,
307,fp_clean,True,1.043063,1843,6,Attack,
308,fp_clean,True,1.071888,1992,6,Attack,
309,fp_clean,True,0.748285,1120,6,Attack,
310,fp_clean,True,1.782258,3600,6,Attack,
